"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市池間",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市大神",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市大神",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市平良狩俣",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市平良狩俣",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市平良東仲宗根",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市平良東仲宗根",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市下地与那覇",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市下地与那覇",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市上野宮国",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市上野宮国",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"宮古島市伊良部伊良部",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宮古島市伊良部伊良部",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"多良間村仲筋",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"多良間村仲筋",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"石垣市登野城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"石垣市登野城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"石垣市大浜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"石垣市大浜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"石垣市宮良",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"石垣市宮良",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"石垣市平久保",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"石垣市平久保",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"石垣市富野",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"石垣市富野",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"竹富町竹富",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町竹富",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a",NA,NA,NA,NA,NA,NA,NA,"竹富町黒島",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町黒島",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"竹富町小浜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町小浜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"竹富町古見",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町古見",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"竹富町干立",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町干立",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"竹富町下地",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町下地",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a_?n2_1",NA,NA,NA,NA,NA,NA,NA,"竹富町名石",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"竹富町名石",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"与那国町祖納",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"与那国町祖納",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"与那国町比川",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"与那国町比川",NA,NA,NA,NA,NA,"声",NA
